 * Serving Flask app 'Backend_app'
 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5001
 * Running on http://10.0.4.122:5001
Press CTRL+C to quit
127.0.0.1 - - [22/Sep/2026 23:25:37] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:37] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:38] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:38] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:39] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:39] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:40] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:40] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:41] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:41] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:42] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:42] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:43] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:43] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:44] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:44] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:45] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:45] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:46] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:46] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:47] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:47] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:48] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:48] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:49] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:49] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:50] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:50] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:51] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:51] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:52] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:52] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:53] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:53] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:54] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:54] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:55] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:55] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:56] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:56] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:57] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:57] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:58] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:58] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:59] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:25:59] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:26:00] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:26:00] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:26:01] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:26:01] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:26:02] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:26:02] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:26:03] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:26:03] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:26:04] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:26:04] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:26:05] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:26:05] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:26:06] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:26:06] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:26:07] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:26:07] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:26:08] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:26:08] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:26:09] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:26:09] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:26:10] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:26:10] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:26:11] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:26:11] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:26:38] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:26:38] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:27:38] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:27:38] "GET /actual HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:28:38] "GET /recorrido?desde=1905 HTTP/1.0" 200 -
127.0.0.1 - - [22/Sep/2026 23:28:38] "GET /actual HTTP/1.0" 200 -
